2026-08-05T08:55:09.580816Z	info	dns	Starting local udp DNS server on 127.0.0.1:0
2026-08-05T08:55:09.581329Z	info	dns	Starting local tcp DNS server on 127.0.0.1:0
fuzz: elapsed: 0s, gathering baseline coverage: 0/336 completed
fuzz: elapsed: 2s, gathering baseline coverage: 336/336 completed, now fuzzing with 4 workers
fuzz: elapsed: 3m21s, execs: 5693881 (90760/sec), new interesting: 273 (total: 609)
fuzz: elapsed: 3m24s, execs: 5745924 (17348/sec), new interesting: 273 (total: 609)
fuzz: elapsed: 3m27s, execs: 5795549 (16540/sec), new interesting: 273 (total: 609)
fuzz: elapsed: 3m30s, execs: 5853091 (19185/sec), new interesting: 274 (total: 610)
fuzz: elapsed: 3m33s, execs: 5928522 (25141/sec), new interesting: 276 (total: 612)
fuzz: elapsed: 3m36s, execs: 5986305 (19263/sec), new interesting: 276 (total: 612)
fuzz: elapsed: 3m39s, execs: 6051041 (21579/sec), new interesting: 285 (total: 621)
fuzz: elapsed: 3m42s, execs: 6190626 (46520/sec), new interesting: 290 (total: 626)
fuzz: elapsed: 3m45s, execs: 6245922 (18428/sec), new interesting: 291 (total: 627)
fuzz: elapsed: 3m48s, execs: 6380892 (45007/sec), new interesting: 291 (total: 627)
fuzz: elapsed: 3m51s, execs: 6463276 (27464/sec), new interesting: 292 (total: 628)
fuzz: elapsed: 3m54s, execs: 6540660 (25792/sec), new interesting: 293 (total: 629)
fuzz: elapsed: 3m57s, execs: 6600609 (19981/sec), new interesting: 295 (total: 631)
fuzz: elapsed: 4m0s, execs: 6719778 (39726/sec), new interesting: 296 (total: 632)
fuzz: elapsed: 4m3s, execs: 6810778 (30337/sec), new interesting: 303 (total: 639)
fuzz: elapsed: 4m6s, execs: 6861434 (16874/sec), new interesting: 308 (total: 644)
fuzz: elapsed: 4m9s, execs: 6975177 (37928/sec), new interesting: 309 (total: 645)
fuzz: elapsed: 4m12s, execs: 7036312 (20382/sec), new interesting: 309 (total: 645)
fuzz: elapsed: 4m15s, execs: 7096005 (19884/sec), new interesting: 309 (total: 645)
fuzz: elapsed: 4m18s, execs: 7157859 (20632/sec), new interesting: 309 (total: 645)
fuzz: elapsed: 4m21s, execs: 7196316 (12818/sec), new interesting: 309 (total: 645)
fuzz: elapsed: 4m21s, execs: 7196316 (0/sec), new interesting: 309 (total: 645)
PASS
ok  	istio.io/istio/pkg/dns/client	261.066s
EXIT: 0
